,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,leurs,their
41,donné,given
42,train,train
43,corps,body
44,endroit,place
45,yeux,eyes
46,façon,way
47,écoute,listen
48,dont,whose
49,trouve,find
50,premier,first
51,perdu,lost
52,main,hand
53,première,first
54,côté,side
55,pouvoir,power
56,vieux,old
57,sois,be
58,tiens,here
59,matin,morning
60,tellement,so much
61,enfant,child
62,point,point
63,venu,came
64,suite,after
65,pardon,sorry
66,venez,come
67,devant,in front of
68,vers,towards
69,minutes,minutes
70,demandé,request
71,chambre,bedroom
72,mis,placed
73,belle,beautiful
74,droit,law
75,aimerais,would like to
76,aujourd'hui,today
77,mari,husband
78,cause,cause
79,enfin,finally
80,espère,hope
81,eau,water
82,attendez,Wait
83,parti,left
84,nouvelle,new
85,boulot,job
86,arrêter,Stop
87,dirait,would say
88,terre,Earth
89,compte,account
90,donne,given
91,loin,far
92,fin,end
93,croire,believe
94,chérie,sweetheart
95,gros,large
96,plutôt,rather
97,aura,will have
98,filles,girls
99,jouer,to play
100,bureau,office
